Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,episode_category,is_holiday
3,9,The Swedes,2016-02-18 00:00:00,7.8,2437,"Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament.",Great,Non-Holiday
3,10,Yippie Kayak,2016-02-25 00:00:00,8.8,2730,"Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz.",Masterpiece,Holiday
3,11,Hostage Situation,2016-03-03 00:00:00,7.7,2320,"Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her.",Great,Non-Holiday
3,12,9 Days,2016-03-10 00:00:00,8.0,2472,"Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it.",Great,Non-Holiday
3,13,The Cruise,2016-03-17 00:00:00,8.1,2378,"Jake comes face-to-face with his old nemesis Doug Judy as he and Amy go on a cruise. Meanwhile, Holt's sister comes to town for a visit, and Diaz and Boyle fight over a rent-controlled apartment which was a crime scene.",Great,Non-Holiday
3,14,Karen Peralta,2016-03-24 00:00:00,7.6,2249,"On Jake's birthday, his Mom tells him she is back together with his hated father. Meanwhile, Charles has an embarrassing moment with a body cam, and Holt's ""Escape the Room"" exercise for the Nine-Nine does not go as planned.",Great,Non-Holiday
3,15,The 9-8,2016-03-31 00:00:00,8.0,2288,"Chaos ensues when the Nine-Nine is forced to share their station with the Nine-Eight precinct while their station is closed, and Charles consequently becomes jealous of Jake's old partner, who is an officer in the Nine-Eight.",Great,Non-Holiday
3,16,House Mouses,2016-04-07 00:00:00,7.8,2198,"When Jake insults Hitchcock and Scully's work ethic in the precinct, they force their way into one of his cases in attempt to prove themselves. Meanwhile, Amy and Gina help Rosa conquer one of her biggest fears, and Holt and Boyle work a celebrity case.",Great,Non-Holiday
3,17,Adrian Pimento,2016-04-14 00:00:00,7.8,2253,"The precinct gains a new detective who has just completed a 12-year undercover job with the mob, Charles' latest mess prompts the janitors to refuse to clean the precinct, and Gina directs a video for Holt.",Great,Non-Holiday
3,18,Cheddar,2016-04-21 00:00:00,7.8,2265,"While Holt is en route to visit Kevin in Paris, Jake and Amy inadvertently lose his dog. Meanwhile, Charles has laser eye surgery, and the sexual tension between Rosa and Adrian Pimento disgusts Terry.",Great,Non-Holiday
